,course,provider,link,course_length,time_commitment,start_date,current_enrollment,pace,price,subject
53,"Foundations of
Modern Finance I",Massachusetts Institute of…,https://www.edx.org/learn/finance/massachusetts-institute-of-technology-foundations-of-modern-finance-i?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=6&results_level=second-level-results&term=&objectID=course-8a1c5e35-6538-428c-a707-27d94c907187&campaign=Foundations+of+Modern+Finance+I&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,12 weeks,10–14 hours per week,Starts Jul 27,102341,Self-paced,£426,Economics & Finance
54,"Basic Spanish 1:
Getting Started",Universitat Politècnica de V…,https://www.edx.org/learn/language/universitat-politecnica-de-valencia-basic-spanish-1-getting-started?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=7&results_level=second-level-results&term=&objectID=course-b05291d7-fbff-4520-8371-7ffdcda326c4&campaign=Basic+Spanish+1%3A+Getting+Started&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,4–5 hours per week,Starts Jul 27,604455,Self-paced,£23,Communication
55,Justice,Harvard University,https://www.edx.org/learn/justice/harvard-university-justice?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=8&results_level=second-level-results&term=&objectID=course-b7d37bb2-5f79-4792-89e0-cf5ec68203f9&campaign=Justice&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,12 weeks,3–6 hours per week,Starts Jul 27,583876,Self-paced,£162,Humanities
56,Introduction to Linux,The Linux Foundation,https://www.edx.org/learn/linux/the-linux-foundation-introduction-to-linux?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=9&results_level=second-level-results&term=&objectID=course-5a631d1c-cb20-4cfc-9b49-1cc9c8fc981e&campaign=Introduction+to+Linux&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,14 weeks,5–7 hours per week,Starts Jul 27,871603,Self-paced,£162,Computer Science
57,"Introduction to Cloud
Computing",IBM,https://www.edx.org/learn/cloud-computing/ibm-introduction-to-cloud-computing?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=10&results_level=second-level-results&term=&objectID=course-7a1a677e-be4c-4e1d-9630-2d60323db911&campaign=Introduction+to+Cloud+Computing&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,2–4 hours per week,Starts Jul 27,102956,Self-paced,£38,Computer Science
58,"The Architectural
Imagination",Harvard University,https://www.edx.org/learn/architecture/harvard-university-the-architectural-imagination?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=11&results_level=second-level-results&term=&objectID=course-8c411679-4105-4de9-8a4c-9c5b3f4a33a6&campaign=The+Architectural+Imagination&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,10 weeks,3–5 hours per week,Starts Jul 27,571673,Self-paced,£193,Architecture
59,"English Grammar and
Style",The University of Queensland,https://www.edx.org/learn/grammar/the-university-of-queensland-english-grammar-and-style?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=12&results_level=second-level-results&term=&objectID=course-c6ad9bb7-cafc-48c8-92e5-5f0900460e66&campaign=English+Grammar+and+Style&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,3–4 hours per week,Starts Jul 27,802602,Self-paced,£100,Humanities
60,Cybersecurity Basics,IBM,https://www.edx.org/learn/cybersecurity/ibm-cybersecurity-basics?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=13&results_level=second-level-results&term=&objectID=course-53e0b3db-0712-495f-9ce6-f12045373a5b&campaign=Cybersecurity+Basics&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,4–8 hours per week,Starts Jul 27,94333,Self-paced,£116,Computer Science
61,"Digital Marketing
Strategy",The University of Edinburgh,https://www.edx.org/learn/digital-marketing/the-university-of-edinburgh-digital-marketing-strategy?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=14&results_level=second-level-results&term=&objectID=course-5e2ea83a-3ec3-4461-86ab-94d17ab0c3f0&campaign=Digital+Marketing+Strategy&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,4–6 hours per week,Starts Jul 27,114911,Self-paced,£116,Business & Management
62,Calculus Applied!,Harvard University,https://www.edx.org/learn/calculus/harvard-university-calculus-applied?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=15&results_level=second-level-results&term=&objectID=course-08f162d1-6943-490b-8e0b-ee6fd5ab256e&campaign=Calculus+Applied%21&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,10 weeks,3–6 hours per week,Starts Jul 27,154383,Self-paced,£0,Math
63,"Introduction to
Prompt Engineering",IBM,https://www.edx.org/learn/artificial-intelligence/ibm-introduction-to-prompt-engineering?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=16&results_level=second-level-results&term=&objectID=course-65ecb868-e9bf-41e6-a345-46c90fd968ea&campaign=Introduction+to+Prompt+Engineering&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,1–3 hours per week,Starts Jul 27,14616,Self-paced,£38,Computer Science
64,Statistics and R,Harvard University,https://www.edx.org/learn/r-programming/harvard-university-statistics-and-r?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=17&results_level=second-level-results&term=&objectID=course-94796bd2-6c39-4189-96ac-fce68e613c57&campaign=Statistics+and+R&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–4 hours per week,Starts Jul 27,465161,Self-paced,£170,Data Analysis & Statistics
65,"Machine Learning and
AI with Python",Harvard University,https://www.edx.org/learn/machine-learning/harvard-university-machine-learning-and-ai-with-python?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=18&results_level=second-level-results&term=&objectID=course-1dc2b7e4-21ab-4c39-9da0-1784d3321948&campaign=Machine+Learning+and+AI+with+Python&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,4–5 hours per week,Starts Jul 27,16981,Self-paced,£232,Data Analysis & Statistics
66,"Financial Accounting
and Analysis",Indian Institute of Managem…,https://www.edx.org/learn/financial-accounting/indian-institute-of-management-bangalore-financial-accounting-and-analysis?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=19&results_level=second-level-results&term=&objectID=course-6e2a897c-0899-4822-a734-cca41703105b&campaign=Financial+Accounting+and+Analysis&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,4–5 hours per week,Starts Jul 27,35087,Self-paced,£39,Business & Management
67,"Cell Biology:
Mitochondria",Harvard University,https://www.edx.org/learn/cellular-biology/harvard-university-cell-biology-mitochondria?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=20&results_level=second-level-results&term=&objectID=course-9fd3a74d-cf0c-4d0b-b458-6536aeae9f00&campaign=Cell+Biology%3A+Mitochondria&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–4 hours per week,Starts Jul 27,135853,Self-paced,£116,Biology & Life Sciences
68,"Circuits and
Electronics 1: Basic
Circuit Analysis",Massachusetts Institute of…,https://www.edx.org/learn/circuits/massachusetts-institute-of-technology-circuits-and-electronics-1-basic-circuit-analysis?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=21&results_level=second-level-results&term=&objectID=course-8f9c73ef-73f5-45dd-aca1-7dad3696f743&campaign=Circuits+and+Electronics+1%3A+Basic+Circuit+Analysis&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,5–7 hours per week,Starts Jul 27,137456,Self-paced,£147,Electronics
69,Leaders of Learning,Harvard University,https://www.edx.org/learn/leadership/harvard-university-leaders-of-learning?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=22&results_level=second-level-results&term=&objectID=course-9174e129-e6f3-4bc8-8a12-ea286d670e71&campaign=Leaders+of+Learning&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,10 weeks,2–4 hours per week,Starts Jul 27,366573,Self-paced,£162,Communication
70,"Analyzing and
Visualizing Data with
Power BI",Davidson College,https://www.edx.org/learn/power-bi/davidson-college-analyzing-and-visualizing-data-with-power-bi?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=23&results_level=second-level-results&term=&objectID=course-aad55b53-a751-4e24-840e-131a3e9ba466&campaign=Analyzing+and+Visualizing+Data+with+Power+BI&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,10–20 hours per week,Starts Jul 27,155888,Self-paced,£193,Data Analysis & Statistics
71,"The Path to
Happiness: What
Chinese Philosophy…",Harvard University,https://www.edx.org/learn/happiness/harvard-university-the-path-to-happiness-what-chinese-philosophy-teaches-us-about-the-good-life?index=product&queryID=7416356cad37aca7a9bbf5c132624a67&position=24&results_level=second-level-results&term=&objectID=course-30bf5a48-c40b-49ae-86d9-0a7cd75ae56e&campaign=The+Path+to+Happiness%3A+What+Chinese+Philosophy+Teaches+us+about+the+Good+Life&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,13 weeks,1–2 hours per week,Starts Jul 27,132047,Self-paced,£116,Philosophy & Ethics
72,"Introduction to Data
Science",IBM,https://www.edx.org/learn/data-science/ibm-introduction-to-data-science?index=product&queryID=6b963e3ff40711ef1c3d19fa63980f0b&position=1&results_level=second-level-results&term=&objectID=course-9bd10bfb-a8cd-4907-a26d-37fe3ea74919&campaign=Introduction+to+Data+Science&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,3–6 hours per week,Starts Jul 27,162303,Self-paced,£77,Data Analysis & Statistics
73,"Foundations of
Finance",University of Cambridge,https://www.edx.org/learn/finance/university-of-cambridge-foundations-of-finance?index=product&queryID=6b963e3ff40711ef1c3d19fa63980f0b&position=2&results_level=second-level-results&term=&objectID=course-4b284afd-836e-4c53-b28e-6431a49f3d21&campaign=Foundations+of+Finance&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,3–5 hours per week,Starts Jul 27,69472,Self-paced,£232,Economics & Finance
74,"Introduction to
Probability",Harvard University,https://www.edx.org/learn/probability/harvard-university-introduction-to-probability?index=product&queryID=6b963e3ff40711ef1c3d19fa63980f0b&position=3&results_level=second-level-results&term=&objectID=course-39b62e2f-9859-4a01-9491-265d28e2c46d&campaign=Introduction+to+Probability&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,10 weeks,5–10 hours per week,Starts Jul 27,186496,Self-paced,£162,Data Analysis & Statistics
75,"Data Science:
Visualization",Harvard University,https://www.edx.org/learn/data-visualization/harvard-university-data-science-visualization?index=product&queryID=6b963e3ff40711ef1c3d19fa63980f0b&position=4&results_level=second-level-results&term=&objectID=course-b4072f23-f746-43a1-9819-8e3d8b066f38&campaign=Data+Science%3A+Visualization&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,1–2 hours per week,Starts Jul 27,285978,Self-paced,£170,Data Analysis & Statistics
76,"Databases: Relational
Databases and SQL",Stanford University,https://www.edx.org/learn/relational-databases/stanford-university-databases-relational-databases-and-sql?index=product&queryID=6b963e3ff40711ef1c3d19fa63980f0b&position=5&results_level=second-level-results&term=&objectID=course-7248ea90-dad7-4b7d-b4f3-946ed6eae5e3&campaign=Databases%3A+Relational+Databases+and+SQL&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,2 weeks,8–10 hours per week,Starts Jul 27,117151,Self-paced,£54,Computer Science
77,"Statistical Learning
with Python",Stanford University,https://www.edx.org/learn/python/stanford-university-statistical-learning-with-python?index=product&queryID=6b963e3ff40711ef1c3d19fa63980f0b&position=6&results_level=second-level-results&term=&objectID=course-e2c8487f-5a70-4643-86e9-07e240059d6f&campaign=Statistical+Learning+with+Python&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,11 weeks,3–5 hours per week,Starts Jul 27,15145,Self-paced,£144,Data Analysis & Statistics
78,"Introduction to
Biology - The Secret
of Life",Massachusetts Institute of…,https://www.edx.org/learn/biology/massachusetts-institute-of-technology-introduction-to-biology-the-secret-of-life?index=product&queryID=6b963e3ff40711ef1c3d19fa63980f0b&position=7&results_level=second-level-results&term=&objectID=course-389d5e5e-7679-467e-b5bb-b21c9c86ca1f&campaign=Introduction+to+Biology+-+The+Secret+of+Life&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,16 weeks,5–10 hours per week,Started Jul 9,230705,Instructor-paced,£117,Biology & Life Sciences
79,"Fundamentals of
Digital Marketing","The University of Maryland,
College Park…",https://www.edx.org/learn/digital-marketing/the-university-of-maryland-college-park-fundamentals-of-digital-marketing?index=product&queryID=6b963e3ff40711ef1c3d19fa63980f0b&position=8&results_level=second-level-results&term=&objectID=course-37e67dee-6b18-4cc2-a489-247eb377fc71&campaign=Fundamentals+of+Digital+Marketing&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,3–5 hours per week,Starts Jul 27,62893,Self-paced,£155,Business & Management
80,"A Hands-on
Introduction to
Engineering Simulati…",Cornell University,https://www.edx.org/learn/engineering/cornell-university-a-hands-on-introduction-to-engineering-simulations?index=product&queryID=6b963e3ff40711ef1c3d19fa63980f0b&position=9&results_level=second-level-results&term=&objectID=course-90a15103-767d-42ca-ba2f-6f4c892d6f4c&campaign=A+Hands-on+Introduction+to+Engineering+Simulations&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,4–6 hours per week,Starts Jul 27,292179,Self-paced,£155,Engineering
81,"Java Programming
Fundamentals",Universidad Galileo,https://www.edx.org/learn/java/universidad-galileo-java-programming-fundamentals?index=product&queryID=6b963e3ff40711ef1c3d19fa63980f0b&position=10&results_level=second-level-results&term=&objectID=course-dad58c2c-6335-4d9c-ad02-22d604855bfc&campaign=Java+Programming+Fundamentals&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,8–10 hours per week,Starts Jul 27,39619,Self-paced,£30,Engineering
82,"Upper-Intermediate
English: Business and
Modern Life",Universitat Politècnica de V…,https://www.edx.org/learn/english/universitat-politecnica-de-valencia-upper-intermediate-english-business-and-modern-life?index=product&queryID=6b963e3ff40711ef1c3d19fa63980f0b&position=11&results_level=second-level-results&term=&objectID=course-c7396192-c639-4cc5-9d37-0722d44a7138&campaign=Upper-Intermediate+English%3A+Business+and+Modern+Life&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,3–5 hours per week,Starts Jul 27,156913,Self-paced,£30,Language
83,"Critical Thinking &
Problem Solving",Rochester Institute of Techn…,https://www.edx.org/learn/critical-thinking-skills/rochester-institute-of-technology-critical-thinking-problem-solving?index=product&queryID=6b963e3ff40711ef1c3d19fa63980f0b&position=12&results_level=second-level-results&term=&objectID=course-772eb266-036a-4248-ac03-c3c0bac56c70&campaign=Critical+Thinking+%26+Problem+Solving&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,4–6 hours per week,Starts Jul 27,50338,Self-paced,£155,Communication
